id,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults
19219,0.41572887,0.001428743,0.004150895,0.00025491064,0.027416246,0.12122801,0.42495188
19220,0.26134914,0.010298445,0.0052384636,0.00030488873,0.23837487,0.13036126,0.41020602
19221,0.0016123488,0.03114565,0.047960997,0.0007399681,0.0176864,0.2451992,0.48463023
19222,0.1523991,0.001363628,0.00078958715,0.0014633016,0.020895291,0.32560644,0.47820172
19223,0.0021284837,0.0013797639,0.0010368234,0.0014933676,0.019614108,0.6411679,0.32687753
19224,0.064673774,0.22574295,0.0027653277,0.00022856791,0.036944278,0.11818351,0.29614863
19225,0.33146027,0.0009738388,0.002165629,0.00025481806,0.0588866,0.05311729,0.5027692
19226,0.015501196,0.216657,0.0058035636,0.011751686,0.07923267,0.1869041,0.40319708
19227,0.00081000593,0.283506,0.2503944,0.002396065,0.010610671,0.12085724,0.37311682
19228,0.37892383,0.006006177,0.0009338141,0.00022704573,0.0073273513,0.22096206,0.42925462
19229,0.00094561226,0.024671648,0.0012254864,0.001965794,0.12039628,0.28601962,0.47996914
19230,0.0005107472,0.0008444919,0.9502309,0.0002340836,0.000652619,0.0015382752,0.058177926
19231,0.00054178847,0.0008762969,0.9669065,0.00024037572,0.0006457095,0.0020633247,0.04460301
19232,0.06691552,0.007790658,0.0013301248,0.0002362617,0.056862112,0.07859254,0.61537457
19233,0.0020556052,0.006337264,0.001367469,0.0019498104,0.022808721,0.4268703,0.42613313
19234,0.0009597889,0.011618146,0.0010878055,0.002424891,0.019152815,0.4398073,0.47478652
19235,0.045461576,0.0029196688,0.00070031255,0.00056890765,0.0040598987,0.6905357,0.18624239
19236,0.06622781,0.019179348,0.03011218,0.00054955226,0.1756631,0.13629048,0.4580032
19237,0.1414634,0.0009770497,0.000687117,0.00076948357,0.00481236,0.60449815,0.19510062
19238,0.0007813713,0.5008355,0.0014577772,0.0019368081,0.008431534,0.26372516,0.29432568
19239,0.00064620853,0.00084496196,0.943926,0.00024769225,0.0007375283,0.0022829499,0.07422524
19240,0.11530452,0.0013100879,0.0010693902,0.0013570207,0.04612919,0.16949408,0.62914294
19241,0.0021529212,0.0017239748,0.002165524,0.0010607247,0.023665072,0.43456107,0.46530232
19242,0.00238174,0.000664962,0.94751203,0.00026604478,0.0011626336,0.001095882,0.058978938
19243,0.038379356,0.55162305,0.0058261324,0.0004247635,0.019288864,0.19713202,0.29793313
19244,0.000493346,0.0007757373,0.96353,0.00023436811,0.00062308804,0.0015334126,0.053258114
19245,0.15045461,0.015003483,0.0012327096,0.00024347301,0.008891365,0.14988923,0.6177269
19246,0.37513733,0.034441154,0.004424749,0.00040678712,0.040374942,0.11670874,0.38555324
19247,0.007064391,0.31307107,0.03492841,0.0002340818,0.01190648,0.22188202,0.37594357
19248,0.0008115036,0.0033957392,0.8225393,0.00030265495,0.00097134704,0.008141364,0.15347937
19249,0.017239394,0.0073045,0.0006509046,0.00036226131,0.0022035472,0.4407739,0.44880927
19250,0.0051844744,0.0017705591,0.0038181304,0.8583552,0.022912834,0.019530242,0.25768626
19251,0.094063535,0.0009535422,0.0009401687,0.0019031081,0.014284298,0.5615154,0.32897133
19252,0.0071306964,0.15776655,0.0015881049,0.0005261164,0.0043482245,0.43873757,0.19467667
